X1,X2,X3,X4,X5,X6,Y,,,,,,,,,,,,
26.43,50,26.6,40,92.2,0.15,1,,,,,,,,,,,,
26.7,50,26.6,50,170,0.25,1,,,,,,,,,,,,
26.8,60,28.8,59,108,0.25,1,,,,,,,,,,,,
22.4,10,35,45,10,0.4,0,,,,,,,,,,,,
20,20,36,45,50,0.5,0,,,,,,,,,,,,
20,0,36,45,50,0.25,0,,,,,,,,,,,,
20,0,36,45,50,0.5,0,,,,,,,,,,,,
22,0,40,33,8,0.35,0,,,,,,,,,,,,
20,0,24.5,20,8,0.35,1,,,,,,,,,,,,
27,40,35,43,420,0.25,0,,,,,,,,,,,,
27,50,40,42,407,0.25,1,,,,,,,,,,,,
27,35,35,42,359,0.25,1,,,,,,,,,,,,
27,37.5,35,37.8,320,0.25,1,,,,,,,,,,,,
27,32,33,42.6,301,0.25,0,,,,,,,,,,,,
27,32,33,42.4,289,0.25,1,,,,,,,,,,,,
27.3,14,31,41,110,0.25,1,,,,,,,,,,,,
27.3,31.5,29.7,41,135,0.25,1,,,,,,,,,,,,
27.3,16.8,28,50,90.5,0.25,1,,,,,,,,,,,,
27.3,26,31,50,92,0.25,1,,,,,,,,,,,,
27.3,10,39,41,511,0.25,1,,,,,,,,,,,,
27.3,10,39,40,470,0.25,1,,,,,,,,,,,,
25,46,35,47,443,0.25,1,,,,,,,,,,,,
25,46,35,44,435,0.25,1,,,,,,,,,,,,
25,46,35,46,432,0.25,1,,,,,,,,,,,,
26,150,45,30,200,0.25,1,,,,,,,,,,,,
18.5,25,0,30,6,0.25,0,,,,,,,,,,,,
18.5,12,0,30,6,0.25,0,,,,,,,,,,,,
22.4,10,35,30,10,0.25,1,,,,,,,,,,,,
21.4,10,30.34,30,20,0.25,1,,,,,,,,,,,,
25,46,35,46,393,0.25,1,,,,,,,,,,,,
25,48,40,49,330,0.25,1,,,,,,,,,,,,
31.3,68.6,37,47,305,0.25,0,,,,,,,,,,,,
25,55,36,45.5,299,0.25,1,,,,,,,,,,,,
31.3,68,37,47,213,0.25,0,,,,,,,,,,,,
18.66,26.41,14.99,34.98,8.2,0,0,,,,,,,,,,,,
28.4,29.41,35.01,34.98,100,0,1,,,,,,,,,,,,
25.96,150.05,45,49.98,200,0,1,,,,,,,,,,,,
18.46,25.06,0,30,6,0,0,,,,,,,,,,,,
21.36,10.05,30.33,30,20,0,1,,,,,,,,,,,,
15.99,70.07,19.98,40.02,115,0,0,,,,,,,,,,,,
20.39,24.91,13.01,22,10.6,0.35,1,,,,,,,,,,,,
19.6,12,19.98,22,12.2,0.41,0,,,,,,,,,,,,
21.78,8.55,32,27.98,12.8,0.49,0,,,,,,,,,,,,
20.39,33.46,10.98,16.01,45.8,0.2,0,,,,,,,,,,,,
19.03,11.7,27.99,34.98,21,0.11,0,,,,,,,,,,,,
17.98,4.95,30.02,19.98,8,0.3,1,,,,,,,,,,,,
20.96,19.96,40.01,40.02,12,0,1,,,,,,,,,,,,
20.96,34.96,27.99,40.02,12,0.5,1,,,,,,,,,,,,
19.97,10.05,28.98,34.03,6,0.3,1,,,,,,,,,,,,
18.77,30.01,9.99,25.02,50,0.1,1,,,,,,,,,,,,
18.77,30.01,19.98,30,50,0.1,1,,,,,,,,,,,,
18.77,25.06,19.98,30,50,0.2,0,,,,,,,,,,,,
20.56,16.21,26.51,30,40,0,0,,,,,,,,,,,,
16.47,11.55,0,30,3.6,0,0,,,,,,,,,,,,
18.8,14.4,25.02,19.98,30.6,0,1,,,,,,,,,,,,
18.8,57.47,19.98,19.98,30.6,0,1,,,,,,,,,,,,
28.4,39.16,37.98,34.98,100,0,1,,,,,,,,,,,,
13.97,12,26.01,30,88,0,0,,,,,,,,,,,,
24.96,120.04,45,53,120,0,1,,,,,,,,,,,,
18.46,12,0,30,6,0,0,,,,,,,,,,,,
22.38,10.05,35.01,30,10,0,1,,,,,,,,,,,,
21.98,19.96,36,45,50,0,0,,,,,,,,,,,,
18.8,15.31,30.02,25.02,10.6,0.38,1,,,,,,,,,,,,
18.8,14.4,25.02,19.98,30.6,0.45,0,,,,,,,,,,,,
21.47,6.9,30.02,31.01,76.8,0.38,0,,,,,,,,,,,,
13.97,12,26.01,30,88,0.45,0,,,,,,,,,,,,
17.98,24.01,30.15,45,20,0.12,0,,,,,,,,,,,,
22.38,99.93,45,45,15,0.25,1,,,,,,,,,,,,
22.38,10.05,35.01,45,10,0.4,0,,,,,,,,,,,,
19.97,19.96,36,45,50,0.25,0,,,,,,,,,,,,
19.97,19.96,36,45,50,0.5,0,,,,,,,,,,,,
20.96,45.02,25.02,49.03,12,0.3,1,,,,,,,,,,,,
20.96,30.01,35.01,40.02,12,0.4,1,,,,,,,,,,,,
19.97,40.06,30.02,30,15,0.3,1,,,,,,,,,,,,
17.98,45.02,25.02,25.02,14,0.3,1,,,,,,,,,,,,
18.97,30.01,35.01,34.98,11,0.2,1,,,,,,,,,,,,
19.97,40.06,40.01,40.02,10,0.2,1,,,,,,,,,,,,
18.83,24.76,21.29,29.2,37,0.5,0,,,,,,,,,,,,
18.83,10.35,21.29,34.03,37,0.3,0,,,,,,,,,,,,
18.77,25.06,9.99,25.02,50,0.2,0,,,,,,,,,,,,
18.77,19.96,9.99,25.02,50,0.3,0,,,,,,,,,,,,
19.08,10.05,9.99,25.02,50,0.4,0,,,,,,,,,,,,
18.77,19.96,19.98,30,50,0.3,0,,,,,,,,,,,,
19.08,10.05,19.98,30,50,0.4,0,,,,,,,,,,,,
21.98,19.96,22.01,19.98,180,0,0,,,,,,,,,,,,
21.98,19.96,22.01,19.98,180,0.1,0,,,,,,,,,,,,
20.41,33.52,11,16,45.7,0.2,0,,,,,,,,,,,,
18.84,0,20,20,7.62,0.45,0,,,,,,,,,,,,
19.06,11.7,28,35,21,0.11,0,,,,,,,,,,,,
18.84,14.36,25,20,30.5,0.45,0,,,,,,,,,,,,
14,11.97,26,30,88,0.45,0,,,,,,,,,,,,
18,24,30.15,45,20,0.12,0,,,,,,,,,,,,
22.4,10,35,45,10,0.4,0,,,,,,,,,,,,
20,20,36,45,50,0.5,0,,,,,,,,,,,,
22.4,100,45,45,15,0.25,1,,,,,,,,,,,,
27,50,40,42,407,0.25,1,,,,,,,,,,,,
31.3,68,37,46,366,0.25,1,,,,,,,,,,,,
27,35,35,42,359,0.25,1,,,,,,,,,,,,
27,37.5,35,38,320,0.25,1,,,,,,,,,,,,
27,32,33,42,289,0.25,1,,,,,,,,,,,,
27,14,31,41,110,0.25,1,,,,,,,,,,,,
27,31.5,29.7,41,135,0.25,1,,,,,,,,,,,,
27,16.8,28,50,90.5,0.25,1,,,,,,,,,,,,
27,26,31,50,92,0.25,1,,,,,,,,,,,,
27,10,39,41,511,0.25,1,,,,,,,,,,,,
27,10,39,40,470,0.25,1,,,,,,,,,,,,
25,46,35,47,443,0.25,1,,,,,,,,,,,,
20,20,36,45,50,0.25,0,,,,,,,,,,,,
19.63,11.97,20,22,21.19,0.4,0,,,,,,,,,,,,
25,55,36,44,299,0.25,1,,,,,,,,,,,,
27.3,10,39,40,480,0.25,1,,,,,,,,,,,,
25,46,35,46,393,0.25,1,,,,,,,,,,,,
16.5,11.49,0,30,3.66,0,0,,,,,,,,,,,,
25,120,45,53,120,0,1,,,,,,,,,,,,
19.06,11.75,28,35,21,0.11,0,,,,,,,,,,,,
18.84,14.36,25,20.3,50,45,0,,,,,,,,,,,,
